East Anglia,England E & NE,England NW & N Wales,England SE & Central South,S Wales & England SW,Midlands,Scotland E,Scotland W,Scotland N,N Ireland
67.2,48.3,94.6,103.2,144.2,66.5,104.1,152.6,172,122
55.1,46.8,86.3,63.4,106,58.1,88.7,115.5,89.8,105.7
47.4,39.8,57.2,33.3,62.7,29.3,55.1,76.2,100.2,75.7
10.9,26.4,33.7,15.3,29.4,26.9,24,36.3,51.2,26.9
40.5,87,132.3,73.7,104.1,67.7,91.1,125.9,71.4,100.5
39.8,25.8,30.7,48.6,46.3,44.1,16.5,33.3,33.8,17.8
98.3,64,71,74.5,94.6,75.9,102.4,96.2,108.7,62.1
109.6,102.3,145.8,104.2,148.6,108.2,116.4,158.2,113.6,125.6
6.6,10.8,27.7,4.9,7.2,7.5,25.4,52.8,80.7,16.2
152.1,163.5,140.2,204.9,189.6,133.4,156.7,135.1,128.1,151.2
48.3,72.3,118.4,91.4,148.3,73,98.9,131,106.5,122.3
