Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for Scotland E
Areal series, starting in 1836
Last updated 01-Mar-2022 11:06
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1986  140.5   36.9   91.8   81.1  139.9   62.0   65.1  114.7   32.1   91.7  129.5  194.4   322.0   312.8   241.8   253.3  1179.7
1987   62.2   63.2  113.4   74.3   57.8  103.2   92.1   95.2   88.0  134.4   75.3   93.4   319.8   245.5   290.6   297.7  1052.6
1988  159.0   89.6  113.9   76.0   60.5   23.1  174.1  124.8   99.4  152.7   78.2   64.0   341.9   250.5   322.1   330.3  1215.4
1989   93.7  136.7  124.7   51.2   47.8   58.2   25.8  120.7   64.3  102.1   39.2   75.2   294.4   223.7   204.7   205.6   939.6
1990  173.5  204.9  104.1   48.3   46.7  119.3   45.1   72.2   72.7  169.3   70.3  128.0   453.7   199.1   236.6   312.3  1254.4
1991  108.5   93.0  102.0   84.0   28.6  120.2   78.9   37.4   79.7  125.6  136.4   80.1   329.5   214.6   236.5   341.7  1074.3
1992   83.1   85.2  151.1   83.4   54.1   37.8   66.8  172.1  134.0   87.0  129.2   89.0   248.4   288.6   276.7   350.2  1172.8
1993  222.9   24.2   76.1  115.2  123.7   60.7   80.7   61.3   93.5  140.2   63.1  155.8   336.2   314.9   202.8   296.8  1217.4
1994  155.7  107.4  152.9   81.2   18.8   65.7   47.5   66.9   65.8   93.9  122.8  152.5   418.9   252.9   180.1   282.5  1131.1
1995  149.6  132.2   86.2   46.8   78.6   38.7   55.8   22.5  195.2  157.7  106.2   69.6   434.3   211.6   117.0   459.1  1139.1
1996   94.6  110.3   60.6   84.7   65.6   37.0   57.6   62.9   40.0  155.4  130.4   87.2   274.5   210.9   157.6   325.8   986.4
1997   30.9  186.0   74.8   33.8  115.1  129.5   66.3   55.4   62.6   52.3  153.6  141.0   304.1   223.7   251.2   268.6  1101.3
